TableName,FieldName,SubVersion,Type,SubType,SubSubType,Size,Units,SuperNumbatFieldName,WallabySubTable,ShortDescription,LongDescription,Required,Auto,IsInteresting,CSV,DisplayOrdinal,LabelDescription,Default,EditControlStyle,Validation,DefaultSourceTable,DefaultSourceField,ShortName,GeometryFieldCode,ExportName,ChoiceLookupObjectType,ChoiceLookupField,GridCellTypeClass,StructureOrdinal,DateTimeFormat,Precision,LocalOnly,ReadOnly,ChoiceOnly,ClearTextChoice,Fake,IgnoreZeroForLimits,JetOnlyBlob,SortOnAbsValue,IWLiveField,IWLiveReadOnlyField,GMRField,GMRRunTypes,IWLiveWQ,IWLivePrecedingProjection,IWLiveBalanceNet,RequiredForModeling,DefaultFlagAllowed,GISFlagAllowed,NodeFlagAllowed,AffectsDateStamp,StoresFileRef,CacheLevel,CanBeSetWhenScripting,ColumnWidthInGrid,PossiblyTVD,CreateFlagField,ErrorUpperLimit,ErrorLowerLimit,WarningUpperLimit,WarningLowerLimit,Choice,NotInTemplate,IsSWMMResult,IsIWResult,IsWQResult,USShortDescription,AustralianShortDescription,NewZealandShortDescription,USLongDescription,AustralianLongDescription,NewZealandLongDescription,USColumnWidthInGrid,AustralianColumnWidthInGrid,NewZealandColumnWidthInGrid
hw_river_reach_defaults,ds_headloss_coeff,61,Double,,,0,,,1,DS headloss coefficient,DS headloss coefficient,F,F,0,1,4,DS HL coef,0,,,,,ds_headlos,,,,,,0,,2,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,0,F,F,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_river_reach_defaults,ds_headloss_type,61,Text,,,64,,,1,DS headloss type,DS headloss type,F,F,0,1,2,DS HL type,Fixed,Headloss Combo S,,,,ds_headlos,,,hw_headloss,,,0,,0,F,F,T,F,F,F,F,F,F,F,F,,F,F,F,1,0,0,0,0,0,0,0,0,F,F,,,,,,F,F,F,F,,,,,,,0,0,0
hw_river_reach_defaults,inflow,61,Double,,,0,CI,,1,Inflow,Inflow,F,F,0,1,1,Inflow,0,,,,,inflow,,,,,,0,,8,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,0,F,F,,0.000000,,0.000000,,F,F,F,F,,,,,,,0,0,0
hw_river_reach_defaults,max_deposition_rate,2522,Double,,,0,ERODERATE,,1,Max deposition,Max deposition rate,F,F,1,1,23,maxdep,0,Floating Point S,,,,maxdep,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,1,0,0,0,0,0,0,10,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_river_reach_defaults,max_erosion_rate,2522,Double,,,0,ERODERATE,,1,Max erosion,Max erosion rate,F,F,1,1,22,maxerod,0,Floating Point S,,,,maxerod,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,1,0,0,0,0,0,0,10,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_river_reach_defaults,sediment_depth,61,Double,,,0,PS,,1,Sediment depth,Sediment depth,F,F,0,1,7,Sed depth,0,,,,,sediment_d,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,0,F,F,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_river_reach_defaults,us_headloss_coeff,61,Double,,,0,,,1,US headloss coefficient,US headloss coefficient,F,F,0,1,5,US HL coef,0,,,,,us_headlos,,,,,,0,,2,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,0,F,F,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_river_reach_defaults,us_headloss_type,61,Text,,,64,,,1,US headloss type,US headloss type,F,F,0,1,3,US HL type,Fixed,Headloss Combo S,,,,us_headlos,,,hw_headloss,,,0,,0,F,F,T,F,F,F,F,F,F,F,F,,F,F,F,1,0,0,0,0,0,0,0,0,F,F,,,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_definition,definition_id,0,Text,,,64,,,1,ID,ID,T,F,1,1,1,ID,,,,,,defn_id,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,30,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_definition,depth_thld_1,0,Double,,,0,Y,,2,Depth threshold 1,Depth threshold 1,F,F,1,1,4,DepthThld1,,Floating Point S,,,,DepThld1,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_definition,depth_thld_2,0,Double,,,0,Y,,2,Depth threshold 2,Depth threshold 2,F,F,1,1,6,DepthThld2,,Floating Point S,,,,DepThld2,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_definition,hyperlinks,0,NOB,VarStructure,hyperlink,0,,,2,Hyperlinks,Hyperlinks,F,F,1,1,32,Hyperlinks,,,,,,,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,10,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_definition,notes,0,Memo,,,0,,,2,Notes,Notes,F,F,0,1,2500,Notes,,,,,,notes,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,10,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_definition,number_of_bands,0,Text,,,2,,,1,Number of depth bands,Number of depth bands,F,F,0,1,2,NumDepBands,1,,1;2;3,,,,,,,,,0,,0,F,F,T,T,F,F,F,F,F,F,F,,F,F,F,1,0,0,0,0,0,0,0,8,F,T,,,,,rough_band_count,F,F,F,F,,,,,,,0,0,0
hw_roughness_definition,roughness_1,0,Double,,,0,,,2,Roughness 1 (Manning's n),Roughness 1 (Manning's n),F,F,1,1,3,Roughness M1,,Floating Point S,,,,Rough1,,,,,,0,,4,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_definition,roughness_2,0,Double,,,0,,,2,Roughness 2 (Manning's n),Roughness 2 (Manning's n),F,F,1,1,5,Roughness M2,,Floating Point S,,,,Rough2,,,,,,0,,4,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_definition,roughness_3,0,Double,,,0,,,2,Roughness 3 (Manning's n),Roughness 3 (Manning's n),F,F,1,1,7,Roughness M3,,Floating Point S,,,,Rough3,,,,,,0,,4,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_definition,user_number_<UFHW>,0,Double,,,0,,,2,User number <UFHW>,User number <UFHW>,F,F,1,1,15000,,,,,,,UN<UFHW>,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,12,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_definition,user_text_<UFHW>,0,Text,,,100,,,2,User text <UFHW>,User text <UFHW>,F,F,1,1,20000,,,,,,,UT<UFHW>,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,32,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_zone,area,0,Double,,,0,CA,,2,Area,Area,F,F,1,1,2,Area,,Floating Point S,,,,area,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,1,0,0,0,0,0,0,10,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_zone,boundary_array,0,NOB,Double,,0,XY,,1,Boundary points,Boundary points,F,F,0,1,4,Boundary Pts,,,,,,boundary_a,XY,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,0,F,F,,,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_zone,exclude_from_2d_mesh,0,Boolean,,,0,,,2,Exclude roughness zone boundary when creating 2D mesh,Exclude roughness zone boundary when creating 2D mesh,F,F,1,1,8,,1,,,,,Exc2DMesh,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,8,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_zone,hyperlinks,0,NOB,VarStructure,hyperlink,0,,,2,Hyperlinks,Hyperlinks,F,F,1,1,32,Hyperlinks,,,,,,,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,10,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_zone,notes,0,Memo,,,0,,,2,Notes,Notes,F,F,0,1,2500,Notes,,,,,,notes,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,10,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_zone,polygon_id,0,Text,,,64,,,1,ID,ID,T,F,1,1,7,ID,,,,,,poly_id,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,30,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_zone,priority,4552,Long Integer,,,0,,,1,Priority,Priority,F,F,0,1,16,Priority,1,Priority,,,,priority,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,1,0,0,0,0,0,0,10,F,T,,1,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_zone,roughness,0,Double,,,0,,,2,Roughness (Manning's n),Roughness (Manning's n),F,F,1,1,14,Roughness M,,Floating Point S,,,,Roughness,,,,,,0,,4,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_zone,roughness_definition_id,3629,Text,,,64,,,2,Roughness definition,Roughness definition,F,F,1,1,15,Rough Def ID,,,,,,rough_defn_id,,,hw_roughness_definition,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,20,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_zone,user_number_<UFHW>,2533,Double,,,0,,,2,User number <UFHW>,User number <UFHW>,F,F,1,1,15000,,,,,,,UN<UFHW>,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,12,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_roughness_zone,user_text_<UFHW>,2533,Text,,,100,,,2,User text <UFHW>,User text <UFHW>,F,F,1,1,20000,,,,,,,UT<UFHW>,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,32,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_rtc,rtc_data,0,Long Memo,,,0,,,1,RTC data,RTC data,F,F,0,0,1,RTC data,,,,,,Data,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,0,F,F,,,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,average_capillary_suction,0,Double,,,0,RD,,2,Green-Ampt suction,Green-Ampt suction,F,F,0,1,200,Grn suction,,Floating Point S,,,,average_ca,,,,,,0,,1,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,decay_factor,0,Double,,,0,HR,,2,Decay factor,Decay factor,F,F,0,1,150,Decay factor,,Floating Point S,,,,decay_fact,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,12,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,depression_loss,3204,Double,,,0,RD,,1,DepLoss,Depression Loss,F,F,0,1,197,Dep Loss,0,Floating Point S,,,,dep_loss,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,1,1,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,drying_time,2012,Double,,,0,TD,,2,Horton drying time,Horton drying time,F,F,0,1,160,Horton dry,,Floating Point S,,,,dry_time,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,12,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,effective_impermeability,2309,Double,,,0,,,2,Eff. impermeability,"Effective impermeability, IF",F,F,0,1,300,Eff Imp,0.65,Floating Point S,,,,eff_imp,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,1,1,0,0,0,0,0,0,12,F,T,1.000000,0.000000,1.000000,0.500000,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,equivalent_roughness,3209,Double,,,0,,,2,Equiv Man n,Equivalent Manning's n,F,F,0,1,96,Equiv Man n,,Floating Point S,,,,eqiv_rgh,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,1,0,0,0,0,0,0,12,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,ground_slope,0,Double,,,0,S,,2,Ground slope,Ground slope,F,F,0,1,40,Ground slope,,Floating Point S,,,,ground_slo,,,,,,0,,6,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,12,F,T,1.000000,0.000000,0.100000,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,halpha,0,Double,,,0,,,2,Halpha,Horner alpha,F,F,0,1,230,Halpha,,Floating Point S,,,,halpha,,,,,,0,,2,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,12,F,T,1.000000,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,hbeta,0,Double,,,0,,,2,Hbeta,Horner beta,F,F,0,1,240,Hbeta,,Floating Point S,,,,hbeta,,,,,,0,,2,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,12,F,T,5.000000,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,hrecovery,0,Double,,,0,,,2,HRecovery\n(min),Horner recovery (min),F,F,0,1,250,Hrecovery,50,Floating Point S,,,,hrecovery,,,,,,0,,1,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,2,0,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,hyperlinks,37,NOB,VarStructure,hyperlink,0,,,2,Hyperlinks,Hyperlinks,F,F,1,1,290,Hyperlinks,,,,,,,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,10,F,T,,,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,infiltration_coeff,0,Double,,,0,I,,2,Infiltration loss coefficient,Infiltration loss coefficient,F,F,0,1,270,Infiltration,0,Floating Point S,,,,inf_coeff,,,,,,0,,1,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
hw_runoff_surface,initial_abstraction_factor,0,Double,,,0,,,2,Initial abstraction factor,Initial abstraction factor,F,F,0,1,60,Init abstr,0,Floating Point S,,,,initial_abs,,,,,,0,,8,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,1,0,0,0,0,0,0,0,12,F,T,,0.000000,,,,F,F,F,F,,,,,,,0,0,0
