TableName,IndexName,Primary,Unique,Required,Index1,Index2,Index3,Index4,Index5,Index6,Index7
hw_unit_hydrograph,ID,F,F,F,ID,,,,,,
hw_unit_hydrograph,PrimaryKey,T,T,T,ID,,,,,,
hw_unit_hydrograph_month,PrimaryKey,T,T,T,ID,Month,,,,,
hw_user_control,link_suffix,F,F,F,link_suffix,,,,,,
hw_user_control,PrimaryKey,T,T,T,us_node_id,link_suffix,,,,,
hw_weir,link_suffix,F,F,F,link_suffix,,,,,,
hw_weir,PrimaryKey,T,T,T,us_node_id,link_suffix,,,,,
hwt_channel,PrimaryKey,T,T,T,template_id,,,,,,
hwt_conduit,PrimaryKey,T,T,T,template_id,,,,,,
hwt_culvert_inlet,PrimaryKey,T,T,T,template_id,,,,,,
hwt_culvert_outlet,PrimaryKey,T,T,T,template_id,,,,,,
hwt_flap_valve,PrimaryKey,T,T,T,template_id,,,,,,
hwt_flume,PrimaryKey,T,T,T,template_id,,,,,,
hwt_node,PrimaryKey,T,T,T,template_id,,,,,,
hwt_orifice,PrimaryKey,T,T,T,template_id,,,,,,
hwt_pump,PrimaryKey,T,T,T,template_id,,,,,,
hwt_screen,PrimaryKey,T,T,T,template_id,,,,,,
hwt_siphon,PrimaryKey,T,T,T,template_id,,,,,,
hwt_sluice,PrimaryKey,T,T,T,template_id,,,,,,
hwt_subcatchment,PrimaryKey,T,T,T,template_id,,,,,,
hwt_user_control,PrimaryKey,T,T,T,template_id,,,,,,
hwt_weir,PrimaryKey,T,T,T,template_id,,,,,,
icml_alert_definitions,PrimaryKey,T,T,T,alert_definition_id,,,,,,
Infinity Configuration,PrimaryKey,T,T,T,ID,,,,,,
Inflow,PrimaryKey,T,T,T,ID,,,,,,
Initial Conditions 1D,PrimaryKey,T,T,T,ID,,,,,,
Initial Conditions 2D,PrimaryKey,T,T,T,ID,,,,,,
IWSW Climatology,PrimaryKey,T,T,T,ID,,,,,,
IWSW Network,PrimaryKey,T,T,T,ID,,,,,,
IWSW pollutograph,PrimaryKey,T,T,T,ID,,,,,,
IWSW Run,PrimaryKey,T,T,T,ID,,,,,,
IWSW Sim,PrimaryKey,T,T,T,ID,,,,,,
IWSW Sim Stats,PrimaryKey,T,T,T,ID,,,,,,
IWSW Time Patterns,PrimaryKey,T,T,T,ID,,,,,,
Label List,PrimaryKey,T,T,T,ID,,,,,,
Layer List,PrimaryKey,T,T,T,ID,,,,,,
Level,PrimaryKey,T,T,T,ID,,,,,,
Lifetime Estimator,PrimaryKey,T,T,T,ID,,,,,,
Live Group,PrimaryKey,T,T,T,ID,,,,,,
Live Group Owners,PrimaryKey,T,T,T,Name,Group,,,,,
Live Group Preferences,PrimaryKey,T,T,T,ProjectID,Name,,,,,
Manifest,PrimaryKey,T,T,T,ID,,,,,,
Manifest Deployment,PrimaryKey,T,T,T,ID,,,,,,
Master Group,PrimaryKey,T,T,T,ID,,,,,,
Master Group Owners,PrimaryKey,T,T,T,Name,Group,,,,,
Master Group Preferences,PrimaryKey,T,T,T,ProjectID,Name,,,,,
Model Group,PrimaryKey,T,T,T,ID,,,,,,
Model Group Owners,PrimaryKey,T,T,T,Name,Group,,,,,
Model Group Preferences,PrimaryKey,T,T,T,ProjectID,Name,,,,,
Model Inference,PrimaryKey,T,T,T,ID,,,,,,
